query,intent,sentiment,detected_intent,detected_sentiment,summary
kudos to the team behind complaint,complaint,positive,express_appreciation,positive,Expressing gratitude to the team behind something
i would not recommend product inquiry to anyone,product_inquiry,negative,product_complaint,negative,Disatisfied customer
health inquiry constantly lets me down,health_inquiry,negative,health_inquiry,negative,The user has had a negative experience with health inquiry and feels it consistently lets them down.
i couldnt be happier with accommodation complaint,accommodation_complaint,positive,accommodation_complaint,positive,Customer is very satisfied with their accommodation experience
process complaint is simply amazing and very reliable,process_complaint,positive,express_appreciation,positive,The user is expressing appreciation for a process that is reliable.
really appreciate how efficient payment inquiry has been,payment_inquiry,positive,express_appreciation,positive,Appreciative feedback for efficient payment inquiry
what does accommodation complaint involve,accommodation_complaint,neutral,accommodation_complaint,neutral,The user is inquiring about the process or procedure for filing an accommodation complaint
can you provide details about account inquiry,account_inquiry,neutral,account_inquiry,neutral,Inquiring about account information
could you explain how complaint works,complaint,neutral,express_opinion,neutral,"The user is seeking information about how something (likely a process or system) works, specifically related to complaints."
i would not recommend process complaint to anyone,process_complaint,negative,complaint,negative,Process complaint dissatisfaction
product feedback has been a fantastic experience overall,product_feedback,positive,product_feedback,positive,Product feedback has been great
product feedback constantly lets me down,product_feedback,negative,product_feedback,negative,Disatisfied with product feedback experience
id like to understand more about schedule inquiry,schedule_inquiry,neutral,schedule_inquiry,neutral,Request to inquire about scheduling
how do i proceed with account inquiry,account_inquiry,neutral,account_inquiry,neutral,Request for information or clarification on account-related matters
i absolutely love how policy inquiry works for me,policy_inquiry,positive,express_appreciation,positive,Expressing appreciation for a satisfactory experience with policy inquiry
where can i learn about policy complaint,policy_complaint,neutral,policy_inquiry,neutral,Inquiring about policy complaints
transportation complaint exceeded all of my expectations,transportation_complaint,positive,transportation_complaint,positive,Exceeded expectations in transportation
i absolutely love how product inquiry works for me,product_inquiry,positive,product_inquiry,positive,The user expresses enthusiasm and appreciation for a product inquiry feature.
i couldnt be happier with financial inquiry,financial_inquiry,positive,financial_inquiry,positive,Customer expresses satisfaction with financial inquiry
id like to understand more about entertainment review,entertainment_review,neutral,entertainment_review,neutral,Request for information about entertainment reviews
really appreciate how efficient warranty inquiry has been,warranty_inquiry,positive,express_gratitude,positive,Express gratitude for efficient warranty inquiry process
the quality of service inquiry is outstanding,service_inquiry,positive,service_inquiry,positive,Customer inquiry about the quality of service
my experience with warranty inquiry was terrible,warranty_inquiry,negative,warranty_inquiry,negative,Poor experience with warranty inquiry
community feedback exceeded all of my expectations,community_feedback,positive,express_appreciation,positive,Customer is expressing appreciation for something
service feedback has made my life much easier and better,service_feedback,positive,express_satisfaction,positive,Expressing satisfaction with service feedback
im very satisfied with the results of customer experience,customer_experience,positive,express_satisfaction,positive,Customer is happy with their experience
is there a manual or guide for delivery status,delivery_status,neutral,delivery_status,neutral,Asking for information about delivery status
using technical feedback was a frustrating experience,technical_feedback,negative,technical_feedback,negative,Displeased technical feedback experience
i need more information regarding environment complaint,environment_complaint,neutral,environment_complaint,neutral,Request for more information on environmental complaints
policy inquiry failed to meet even the basic expectations,policy_inquiry,negative,policy_inquiry,negative,Policy inquiry was unsuccessful and didn't meet expectations
how do i proceed with payment inquiry,payment_inquiry,neutral,payment_inquiry,neutral,Request for information about making a payment
where can i learn about food review,food_review,neutral,product_inquiry,neutral,The user wants to learn about food reviews
im extremely disappointed with environment complaint,environment_complaint,negative,environment_complaint,negative,Disappointment expressed about an environmental issue
whats the process for healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Inquiring about healthcare feedback process
the quality of procedural inquiry is outstanding,procedural_inquiry,positive,procedural_inquiry,positive,The quality of procedural inquiry is excellent
how do i proceed with technical complaint,technical_complaint,neutral,technical_complaint,neutral,Seeking guidance on resolving a technical issue
could you explain how warranty inquiry works,warranty_inquiry,neutral,warranty_inquiry,neutral,Request for information on warranty inquiry process
really appreciate how efficient booking complaint has been,booking_complaint,positive,booking_complaint,positive,Appreciation for efficient booking process
what does procedural inquiry involve,procedural_inquiry,neutral,procedural_inquiry,neutral,Request for information about a process or procedure
really appreciate how efficient financial inquiry has been,financial_inquiry,positive,express_appreciation,positive,Appreciation for efficient financial inquiry process
could you explain how location inquiry works,location_inquiry,neutral,location_inquiry,neutral,Request for information about location inquiry process
im extremely disappointed with service inquiry,service_inquiry,negative,service_inquiry,negative,The user is unhappy with their service inquiry experience.
can you provide details about business inquiry,business_inquiry,neutral,business_inquiry,neutral,Request for information
im very satisfied with the results of location inquiry,location_inquiry,positive,location_inquiry,positive,Customer is satisfied with their location inquiry results
my experience with entertainment review was terrible,entertainment_review,negative,entertainment_review,negative,bad experience with entertainment review
service feedback caused a lot of problems for me,service_feedback,negative,service_feedback,negative,The customer had issues with service
policy feedback caused a lot of problems for me,policy_feedback,negative,policy_feedback,negative,Policy feedback caused problems
event review was a complete disaster and waste of time,event_review,negative,event_review,negative,The event review was disappointing and a waste of time.
i need more information regarding transportation complaint,transportation_complaint,neutral,transportation_complaint,neutral,Request for more information about transportation complaint
how do i proceed with procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,Inquiring about process or procedure
shipping inquiry has been a fantastic experience overall,shipping_inquiry,positive,shipping_inquiry,positive,Overall positive experience
my experience with booking complaint was terrible,booking_complaint,negative,booking_complaint,negative,Bad experience with booking
im extremely disappointed with financial complaint,financial_complaint,negative,financial_complaint,negative,Customer is unhappy with their financial experience
id like to understand more about policy inquiry,policy_inquiry,neutral,policy_inquiry,neutral,Request for information about policies
could you explain how product inquiry works,product_inquiry,neutral,product_inquiry,neutral,Request for product information
order inquiry has made my life much easier and better,order_inquiry,positive,express_appreciation,positive,The user appreciates that order inquiry has had a positive impact on their life.
how do i proceed with booking complaint,booking_complaint,neutral,booking_complaint,neutral,The user wants to know how to proceed with a booking complaint
im extremely disappointed with health inquiry,health_inquiry,negative,health_inquiry,negative,Customer expresses disappointment with health inquiry process
my experience with service inquiry was terrible,service_inquiry,negative,service_inquiry,negative,Poor experience with service inquiry
environment complaint constantly lets me down,environment_complaint,negative,environment_complaint,negative,The environment consistently fails to meet expectations
where can i learn about business inquiry,business_inquiry,neutral,business_inquiry,neutral,The user is looking for information about business inquiry
im extremely disappointed with event review,event_review,negative,event_review,negative,Disappointment with an event review
technical complaint has so many issues i regret using it,technical_complaint,negative,technical_complaint,negative,Technical issue has caused regret
product inquiry did not work as advertised,product_inquiry,negative,product_complaint,negative,Product did not meet expectations
kudos to the team behind job inquiry,job_inquiry,positive,express_appreciation,positive,Praise for job inquiry team
is there a manual or guide for travel complaint,travel_complaint,neutral,travel_complaint,neutral,Seeking information about travel complaints
health inquiry exceeded all of my expectations,health_inquiry,positive,health_inquiry,positive,General health inquiry exceeded expectations
schedule inquiry caused a lot of problems for me,schedule_inquiry,negative,schedule_inquiry,negative,Schedule inquiry caused issues
i would not recommend accommodation complaint to anyone,accommodation_complaint,negative,accommodation_complaint,negative,Unhappy customer experience
really appreciate how efficient policy feedback has been,policy_feedback,positive,express_appreciation,positive,Expressing gratitude for efficient policy feedback
what does travel review involve,travel_review,neutral,information_request,neutral,User wants to know what travel review involves
can you provide details about product inquiry,product_inquiry,neutral,product_inquiry,neutral,Request for product information
product inquiry has been a fantastic experience overall,product_inquiry,positive,product_inquiry,positive,A customer has had a great experience with product inquiry.
my experience with billing complaint was terrible,billing_complaint,negative,billing_complaint,negative,The user had a poor experience with billing
what does educational feedback involve,educational_feedback,neutral,educational_feedback,neutral,"The user is seeking information about educational feedback, likely wanting to know what it entails or how it works."
can you provide details about health complaint,health_complaint,neutral,health_complaint,neutral,Request for information about health complaints
whats the process for shipping inquiry,shipping_inquiry,neutral,schedule_inquiry,neutral,Requesting information about shipping
the quality of job inquiry is outstanding,job_inquiry,positive,job_inquiry,positive,The user is impressed with the quality of job inquiries.
i absolutely love how educational feedback works for me,educational_feedback,positive,express_praise,positive,Expressing admiration for educational feedback
where can i learn about payment inquiry,payment_inquiry,neutral,payment_inquiry,neutral,Request for information about payment inquiry
event review did not work as advertised,event_review,negative,event_review,negative,Disappointed event did not meet expectations
warranty inquiry exceeded all of my expectations,warranty_inquiry,positive,warranty_inquiry,positive,Customer inquiry about warranty exceeded their expectations
kudos to the team behind health inquiry,health_inquiry,positive,express_appreciation,positive,Appreciation for good service
who can i contact about educational feedback,educational_feedback,neutral,educational_feedback,neutral,Request for educational feedback contact information
i couldnt be happier with order inquiry,order_inquiry,positive,express_satisfaction,positive,The user expresses happiness and satisfaction with an order inquiry.
id like to understand more about job inquiry,job_inquiry,neutral,job_inquiry,neutral,The user wants to learn more about job inquiry
i need more information regarding customer experience,customer_experience,neutral,customer_experience,neutral,Request for more information about customer experience
im very satisfied with the results of health complaint,health_complaint,positive,health_complaint,positive,Satisfied with healthcare results
kudos to the team behind shipping inquiry,shipping_inquiry,positive,express_appreciation,positive,Expressing gratitude and appreciation for a team's work
i absolutely love how warranty inquiry works for me,warranty_inquiry,positive,express_appreciation,positive,Expressing appreciation for warranty inquiry process
could you explain how travel complaint works,travel_complaint,neutral,travel_complaint,neutral,Request for information on travel complaint process
could you explain how account inquiry works,account_inquiry,neutral,account_inquiry,neutral,Request for information about account inquiry process
using educational feedback was a frustrating experience,educational_feedback,negative,educational_feedback,negative,The user had a bad experience using educational feedback.
i couldnt be happier with shipping inquiry,shipping_inquiry,positive,shipping_inquiry,positive,Customer is satisfied with the shipping process
i would not recommend travel review to anyone,travel_review,negative,travel_review,negative,Unhappy customer experience
schedule inquiry exceeded all of my expectations,schedule_inquiry,positive,schedule_inquiry,positive,Inquiry about schedule met expectations
service review has been a fantastic experience overall,service_review,positive,service_review,positive,Overall positive service review
rewards feedback has been a fantastic experience overall,rewards_feedback,positive,express_appreciation,positive,Excellent experience
i absolutely love how order inquiry works for me,order_inquiry,positive,express_appreciation,positive,Expressing appreciation for order inquiry process
who can i contact about health inquiry,health_inquiry,neutral,health_inquiry,neutral,Inquiring about health-related information
i absolutely love how rewards feedback works for me,rewards_feedback,positive,express_appreciation,positive,Expressing appreciation for rewards feedback
is there a manual or guide for accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Request for information on a guide or manual related to accommodation complaints
id like to understand more about healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,User wants to understand more about healthcare feedback
whats the process for financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,Request for information about financial inquiry process
where can i learn about service inquiry,service_inquiry,neutral,service_inquiry,neutral,Inquiring about service
location inquiry has been a fantastic experience overall,location_inquiry,positive,location_inquiry,positive,Positive inquiry about location
i couldnt be happier with community feedback,community_feedback,positive,express_appreciation,positive,Expressing gratitude for community feedback
transportation complaint was a complete disaster and waste of time,transportation_complaint,negative,transportation_complaint,negative,Bad experience with transportation
service review exceeded all of my expectations,service_review,positive,service_review,positive,Service exceeded expectations
my experience with customer experience was terrible,customer_experience,negative,customer_experience,negative,Customer had a bad experience
service complaint is simply amazing and very reliable,service_complaint,positive,service_complaint,positive,Express satisfaction with reliable service
my experience with health inquiry was terrible,health_inquiry,negative,health_inquiry,negative,The user had a negative experience with their health inquiry
i need more information regarding product inquiry,product_inquiry,neutral,product_inquiry,neutral,The user is seeking more information about a product
financial complaint caused a lot of problems for me,financial_complaint,negative,financial_complaint,negative,The user has experienced financial issues causing problems for them.
health inquiry is simply amazing and very reliable,health_inquiry,positive,health_inquiry,positive,The user expresses enthusiasm and reliability regarding a health inquiry.
is there a manual or guide for policy inquiry,policy_inquiry,neutral,procedural_inquiry,neutral,Requesting guidance or documentation for a policy inquiry
account inquiry did not work as advertised,account_inquiry,negative,account_inquiry,negative,Account inquiry failed to deliver expected results
facility feedback was a complete disaster and waste of time,facility_feedback,negative,facilities_feedback,negative,Disappointing experience with facilities
can you provide details about financial inquiry,financial_inquiry,neutral,financial_inquiry,neutral,Request for information about financial inquiry
educational feedback has been a fantastic experience overall,educational_feedback,positive,educational_feedback,positive,"Overall, educational feedback has been great"
could you explain how transportation complaint works,transportation_complaint,neutral,transportation_complaint,neutral,Request for explanation on transportation complaint process
who can i contact about accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Request for contact information to report an accommodation issue
the quality of policy feedback is outstanding,policy_feedback,positive,policy_feedback,positive,The quality of policy feedback is excellent
using product inquiry was a frustrating experience,product_inquiry,negative,product_inquiry,negative,Product inquiry process was frustrating
the quality of policy inquiry is outstanding,policy_inquiry,positive,policy_inquiry,positive,The customer is satisfied with the quality of policy inquiry.
healthcare feedback did not work as advertised,healthcare_feedback,negative,healthcare_feedback,negative,Unsatisfactory experience with healthcare service
id like to understand more about food review,food_review,neutral,food_review,neutral,Request for information about food review
i need more information regarding policy feedback,policy_feedback,neutral,policy_feedback,neutral,Request for more information on policy feedback
is there a manual or guide for environment complaint,environment_complaint,neutral,environment_complaint,neutral,Requesting information on a manual or guide for environment complaint
health complaint has made my life much easier and better,health_complaint,positive,health_complaint,positive,The user is expressing gratitude that their health complaint has improved their life
policy inquiry has made my life much easier and better,policy_inquiry,positive,express_opinion,positive,The policy inquiry has had a positive impact on the user's life.
entertainment review is simply amazing and very reliable,entertainment_review,positive,entertainment_review,positive,Expressing satisfaction with an entertainment experience.
kudos to the team behind schedule inquiry,schedule_inquiry,positive,express_appreciation,positive,Expressing gratitude for the team behind schedule inquiry
product feedback failed to meet even the basic expectations,product_feedback,negative,product_feedback,negative,Product did not meet minimum requirements
kudos to the team behind billing complaint,billing_complaint,positive,express_appreciation,positive,Expressing gratitude for the team behind a billing complaint
can you provide details about complaint,complaint,neutral,complaint,neutral,Request for information about complaints
travel review is simply amazing and very reliable,travel_review,positive,travel_review,positive,The user had an excellent experience and found the travel service reliable
can you provide details about service feedback,service_feedback,neutral,service_feedback,neutral,Request for information about service feedback
shipping inquiry failed to meet even the basic expectations,shipping_inquiry,negative,shipping_inquiry,negative,Failed shipping experience
travel review has made my life much easier and better,travel_review,positive,travel_review,positive,Travel review has made life easier and better
i couldnt be happier with service complaint,service_complaint,positive,service_complaint,positive,The user is extremely satisfied with their experience and wants to express their happiness.
im extremely disappointed with technical feedback,technical_feedback,negative,technical_feedback,negative,User is unhappy with technical feedback
technical feedback did not work as advertised,technical_feedback,negative,technical_feedback,negative,Feedback on technical issue did not work as expected
what does account inquiry involve,account_inquiry,neutral,account_inquiry,neutral,Inquiry about account details or information
kudos to the team behind appointment management,appointment_management,positive,express_appreciation,positive,Expression of gratitude for a job well done
id like to understand more about procedural inquiry,procedural_inquiry,neutral,procedural_inquiry,neutral,Request for information about procedural inquiry
using billing complaint was a frustrating experience,billing_complaint,negative,billing_complaint,negative,Frustrating billing experience
using payment inquiry was a frustrating experience,payment_inquiry,negative,payment_inquiry,negative,The payment inquiry process was frustrating.
how do i proceed with accommodation complaint,accommodation_complaint,neutral,accommodation_complaint,neutral,Requesting guidance on filing an accommodation complaint
what does product inquiry involve,product_inquiry,neutral,product_inquiry,neutral,Asking for information about a product
the quality of environment complaint is outstanding,environment_complaint,positive,environment_complaint,positive,Praise for environmental quality
the quality of entertainment review is outstanding,entertainment_review,positive,entertainment_review,positive,The entertainment review is highly praised.
how do i proceed with health inquiry,health_inquiry,neutral,health_inquiry,neutral,Customer wants to inquire about their health-related query
i would not recommend event review to anyone,event_review,negative,review,negative,The user would not recommend an event review.
environment complaint has made my life much easier and better,environment_complaint,positive,environment_complaint,positive,The environment complaint has had a positive impact on the user's life.
where can i learn about healthcare feedback,healthcare_feedback,neutral,healthcare_feedback,neutral,Inquiring about learning opportunities or resources related to providing feedback on healthcare services
i couldnt be happier with complaint,complaint,positive,express_satisfaction,positive,Expressing strong satisfaction
technical support exceeded all of my expectations,technical_support,positive,express_opinion,positive,Expressing satisfaction with technical support
im extremely disappointed with schedule inquiry,schedule_inquiry,negative,schedule_inquiry,negative,Disappointed with schedule inquiry
health inquiry did not work as advertised,health_inquiry,negative,health_inquiry,negative,The health inquiry did not meet expectations.
how do i proceed with travel complaint,travel_complaint,neutral,travel_complaint,neutral,The user wants to know how to proceed with a travel-related complaint.
using location inquiry was a frustrating experience,location_inquiry,negative,location_inquiry,negative,Location inquiry was frustrating
product feedback has made my life much easier and better,product_feedback,positive,product_feedback,positive,The product has improved their life.
my experience with technical feedback was terrible,technical_feedback,negative,technical_feedback,negative,Customer had a poor experience with technical feedback
how do i proceed with health complaint,health_complaint,neutral,health_complaint,neutral,The user wants to know how to proceed with a health-related issue
kudos to the team behind travel complaint,travel_complaint,positive,express_appreciation,positive,The user is expressing gratitude to the team behind a travel complaint
im very satisfied with the results of food review,food_review,positive,express_satisfaction,positive,The user expresses overall satisfaction with their experience
could you explain how appointment management works,appointment_management,neutral,appointment_management,neutral,Inquiry about how appointment scheduling works
educational feedback failed to meet even the basic expectations,educational_feedback,negative,educational_feedback,negative,Failed to meet basic expectations
community feedback did not work as advertised,community_feedback,negative,community_feedback,negative,The community feedback feature didn't meet expectations.
booking complaint did not work as advertised,booking_complaint,negative,booking_complaint,negative,Booking did not work as expected
what does product feedback involve,product_feedback,neutral,product_feedback,neutral,User wants to know what product feedback entails
im very satisfied with the results of warranty inquiry,warranty_inquiry,positive,warranty_inquiry,positive,Customer feedback on warranty inquiry
travel complaint has so many issues i regret using it,travel_complaint,negative,travel_complaint,negative,Unhappy customer with travel issues
where can i learn about facility feedback,facility_feedback,neutral,facility_feedback,neutral,Request for information about facility feedback
procedural inquiry constantly lets me down,procedural_inquiry,negative,procedural_inquiry,negative,Frustrated with constant disappointment
could you explain how health inquiry works,health_inquiry,neutral,health_inquiry,neutral,Request for clarification on health inquiry process
i would not recommend entertainment review to anyone,entertainment_review,negative,entertainment_review,negative,Disapproval of an entertainment experience
im extremely disappointed with warranty inquiry,warranty_inquiry,negative,warranty_inquiry,negative,Customer expresses disappointment with warranty inquiry
could you explain how customer experience works,customer_experience,neutral,business_inquiry,neutral,Asking for an explanation about customer experience
complaint did not work as advertised,complaint,negative,product_complaint,negative,Product did not meet expectations
policy feedback constantly lets me down,policy_feedback,negative,policy_feedback,negative,Disappointment with policy feedback experience
i couldnt be happier with job inquiry,job_inquiry,positive,job_inquiry,positive,The user expresses satisfaction and enthusiasm about a job inquiry.
payment inquiry has so many issues i regret using it,payment_inquiry,negative,payment_inquiry,negative,Payment system has problems and you regret using it
billing complaint has been a fantastic experience overall,billing_complaint,positive,complaint,positive,"Billing issue, but overall positive experience"
procedural inquiry was a complete disaster and waste of time,procedural_inquiry,negative,procedural_inquiry,negative,Disappointing experience with procedural inquiry
i couldnt be happier with account inquiry,account_inquiry,positive,account_inquiry,positive,Customer is satisfied with account inquiry process
im very satisfied with the results of delivery status,delivery_status,positive,delivery_status,positive,The user is satisfied with the delivery status
location inquiry was a complete disaster and waste of time,location_inquiry,negative,location_inquiry,negative,The location inquiry was unsuccessful and frustrating.
service feedback has so many issues i regret using it,service_feedback,negative,service_feedback,negative,Unhappy customer experience
could you explain how educational feedback works,educational_feedback,neutral,educational_feedback,neutral,request for explanation
im very satisfied with the results of policy inquiry,policy_inquiry,positive,policy_inquiry,positive,Customer is satisfied with policy inquiry results
event review has been a fantastic experience overall,event_review,positive,event_review,positive,Event review has been a great experience overall
i need more information regarding policy inquiry,policy_inquiry,neutral,policy_inquiry,neutral,Request for more information on policy inquiry
where can i learn about travel review,travel_review,neutral,travel_review,neutral,Learning about travel reviews
who can i contact about technical complaint,technical_complaint,neutral,technical_complaint,neutral,Seeking assistance with technical issue
is there a manual or guide for health inquiry,health_inquiry,neutral,health_inquiry,neutral,The user is seeking information about health inquiries
delivery status has so many issues i regret using it,delivery_status,negative,delivery_status,negative,Poor experience with delivery
what does product complaint involve,product_complaint,neutral,product_complaint,neutral,The user wants to know what product complaint involves
health complaint did not work as advertised,health_complaint,negative,health_complaint,negative,Disappointment with health product or service
appointment management constantly lets me down,appointment_management,negative,appointment_management,negative,Appointment scheduling process consistently disappoints
where can i learn about customer experience,customer_experience,neutral,business_inquiry,neutral,Learning about customer experience
process complaint failed to meet even the basic expectations,process_complaint,negative,process_complaint,negative,Failed to meet basic expectations
really appreciate how efficient service review has been,service_review,positive,express_appreciation,positive,Expressing gratitude for efficient service review
i couldnt be happier with health inquiry,health_inquiry,positive,health_inquiry,positive,The user expresses enthusiasm and satisfaction with health inquiry
health complaint is simply amazing and very reliable,health_complaint,positive,health_complaint,positive,Customer expresses satisfaction with health-related issue
appointment management caused a lot of problems for me,appointment_management,negative,appointment_management,negative,Appointment management caused issues
id like to understand more about technical feedback,technical_feedback,neutral,technical_feedback,neutral,User wants to understand more about technical feedback
who can i contact about product complaint,product_complaint,neutral,product_complaint,neutral,Contacting someone to report a problem with a product
who can i contact about service review,service_review,neutral,service_review,neutral,Request for contact information related to service review
account inquiry failed to meet even the basic expectations,account_inquiry,negative,customer_experience,negative,Account inquiry failed to meet expectations
what does policy feedback involve,policy_feedback,neutral,policy_feedback,neutral,Asking about policy feedback
technical feedback exceeded all of my expectations,technical_feedback,positive,technical_feedback,positive,Satisfied customer
my experience with appointment management was terrible,appointment_management,negative,appointment_management,negative,bad experience
kudos to the team behind financial complaint,financial_complaint,positive,express_praise,positive,Thanking the team behind a financial complaint
service review has so many issues i regret using it,service_review,negative,service_complaint,negative,Disappointing experience due to numerous issues
technical complaint was a complete disaster and waste of time,technical_complaint,negative,technical_complaint,negative,Disastrous technical experience
policy feedback has made my life much easier and better,policy_feedback,positive,express_appreciation,positive,Expressing gratitude for a policy that has improved their life
is there a manual or guide for product feedback,product_feedback,neutral,product_feedback,neutral,Requesting information about product feedback
im very satisfied with the results of event review,event_review,positive,event_review,positive,Satisfied with event results
is there a manual or guide for account inquiry,account_inquiry,neutral,account_inquiry,neutral,User wants to know if there is a guide or manual for account inquiry
schedule inquiry failed to meet even the basic expectations,schedule_inquiry,negative,appointment_management,negative,Failed schedule inquiry
complaint has so many issues i regret using it,complaint,negative,complaint,negative,User expresses regret and dissatisfaction with a service or product
i need more information regarding rewards feedback,rewards_feedback,neutral,rewards_feedback,neutral,User requests information about rewards feedback
customer experience caused a lot of problems for me,customer_experience,negative,customer_experience,negative,Bad customer experience caused problems
how do i proceed with process complaint,process_complaint,neutral,process_complaint,neutral,Request for assistance with a process-related issue
im extremely disappointed with policy complaint,policy_complaint,negative,complaint,negative,Customer is unhappy with the outcome of a policy-related issue
the quality of delivery status is outstanding,delivery_status,positive,delivery_status,positive,The delivery service was excellent.
warranty inquiry has been a fantastic experience overall,warranty_inquiry,positive,warranty_inquiry,positive,The user had a positive experience with their warranty inquiry.
technical support did not work as advertised,technical_support,negative,technical_complaint,negative,Technical support failed to deliver expected results
i absolutely love how service review works for me,service_review,positive,express_appreciation,positive,Expressing appreciation for a service review process that works well
travel review constantly lets me down,travel_review,negative,travel_review,negative,"The user had a bad experience with travel reviews, which consistently disappointed them."
order inquiry was a complete disaster and waste of time,order_inquiry,negative,order_inquiry,negative,Order inquiry was unsuccessful and frustrating
delivery status constantly lets me down,delivery_status,negative,shipping_inquiry,negative,Disappointment with delivery status
technical support caused a lot of problems for me,technical_support,negative,technical_support,negative,User had a bad experience with technical support
technical support has been a fantastic experience overall,technical_support,positive,express_appreciation,positive,Expressing gratitude for technical support experience
technical support has so many issues i regret using it,technical_support,negative,technical_complaint,negative,Regretful experience with technical support
can you provide details about job inquiry,job_inquiry,neutral,job_inquiry,neutral,User is inquiring about job-related information
im extremely disappointed with health complaint,health_complaint,negative,health_complaint,negative,Customer expresses disappointment with health issue
event review caused a lot of problems for me,event_review,negative,event_review,negative,The event caused problems for me.
i couldnt be happier with billing complaint,billing_complaint,positive,express_satisfaction,positive,The user expresses satisfaction with their billing experience.
whats the process for event review,event_review,neutral,event_review,neutral,Requesting information about the process for reviewing an event
transportation complaint is simply amazing and very reliable,transportation_complaint,positive,transportation_complaint,positive,Transportation complaint experience was excellent and reliable
using policy complaint was a frustrating experience,policy_complaint,negative,policy_complaint,negative,Frustrating experience with policy complaint
